Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Sharadapriya,Janyam,20,S R2 G2 P N2 S, S N2 P G2 R2 S
Shree Navarasachandrika,Janyam,20,S R2 G2 M1 P D1 S, S D1 P M1 G2 R2 S
Sindhu Dhanyāsi,Janyam,20,S G2 M1 P N2 S, S N2 D1 M1 P M1 G2 R2 S
Shuddha Desi,Janyam,20,S R2 G2 R2 M1 P D1 N2 S, S N2 D1 P M1 G2 R2 S
Shuddha Sālavi,Janyam,20,S G2 M1 P N2 S, S N2 P M1 R2 S
Sukumāri,Janyam,20,S G2 M1 P N2 D1 N2 S, S N2 P M1 G2 M1 R2 S
Sushama,Janyam,20,S R2 M1 P D1 S, S D1 P M1 R2 S
Sutradhāri,Janyam,20,S R2 M1 P D1 S, S D1 P M1 R2 S
Tarkshika,Janyam,20,S R2 M1 P N2 S, S N2 D1 P M1 R2 G2 R2 S
Udayarāga,Janyam,20,S G2 M1 P N2 S, S N2 P M1 G2 S
Vasantavarāli,Janyam,20,S R2 M1 P D1 S, S N2 D1 P G2 R2 S
Keeravāni,Melakarta,21,S R2 G2 M1 P D1 N3 S, S N3 D1 P M1 G2 R2 S
Keeranāvali,Janyam,21,S R2 G2 M1 P D1 N3 S, S P M1 G2 R2 S
